=== INAA Legal Research — All-State Verification ===
CourtListener: token found
Mode: LIVE

1402 statutes to verify
  [394/1402] unlawful-imprisonment: LOW (0.15)
  [395/1402] vandalism: LOW (0.15)
  [396/1402] vehicular-homicide: LOW (0.15)
  [397/1402] vehicular-manslaughter: LOW (0.15)
  [398/1402] violation-protective-order: LOW (0.15)
  [399/1402] voluntary-manslaughter: LOW (0.15)
  [400/1402] witness-tampering: LOW (0.15)

--- NY ---
  [401/1402] aggravated-assault: LOW (0.15)
  [402/1402] aiding-abetting: LOW (0.15)
  [403/1402] animal-cruelty: LOW (0.15)
  [404/1402] armed-robbery: LOW (0.15)
  [405/1402] arson: LOW (0.15)
  [406/1402] assault-with-deadly-weapon: LOW (0.15)
  [407/1402] attempt: LOW (0.15)
  [408/1402] attempted-murder: LOW (0.15)
  [409/1402] bad-checks: LOW (0.15)
  [410/1402] battery: LOW (0.15)
  [411/1402] bribery: LOW (0.15)
  [412/1402] burglary: LOW (0.15)
  [413/1402] child-abuse: LOW (0.15)
  [414/1402] child-endangerment: LOW (0.15)
  [415/1402] child-exploitation: LOW (0.15)
  [416/1402] concealed-carry-violation: LOW (0.15)
  [417/1402] conspiracy: LOW (0.15)
  [418/1402] contempt-of-court: LOW (0.15)
  [419/1402] counterfeiting: LOW (0.15)
  [420/1402] credit-card-fraud: LOW (0.15)
  [421/1402] criminal-mischief: LOW (0.15)
  [422/1402] criminal-threat: LOW (0.15)
  [423/1402] disorderly-conduct: LOW (0.15)
  [424/1402] domestic-battery: LOW (0.15)
  [425/1402] domestic-violence: LOW (0.15)
  [426/1402] driving-on-suspended: LOW (0.15)
  [427/1402] drug-distribution: LOW (0.15)
  [428/1402] drug-manufacturing: LOW (0.15)
  [429/1402] drug-paraphernalia: LOW (0.15)
  [430/1402] drug-possession: LOW (0.15)
  [431/1402] drug-possession-cocaine: LOW (0.15)
  [432/1402] drug-possession-marijuana: LOW (0.15)
  [433/1402] drug-possession-meth: LOW (0.15)
  [434/1402] drug-possession-with-intent: LOW (0.15)
  [435/1402] drug-trafficking: LOW (0.15)
  [436/1402] dui-drugs: LOW (0.15)
  [437/1402] dui-dwi: LOW (0.15)
  [438/1402] dui-first-offense: LOW (0.15)
  [439/1402] dui-repeat-offense: LOW (0.15)
  [440/1402] elder-abuse: LOW (0.15)
  [441/1402] embezzlement: LOW (0.15)
  [442/1402] escape-custody: LOW (0.15)
  [443/1402] failure-to-appear: LOW (0.15)
  [444/1402] failure-to-register: LOW (0.15)
  [445/1402] false-report: LOW (0.15)
  [446/1402] felon-in-possession: LOW (0.15)
  [447/1402] fleeing-eluding: LOW (0.15)
  [448/1402] forgery: LOW (0.15)
  [449/1402] fraud-general: LOW (0.15)
  [450/1402] grand-theft: LOW (0.15)
  [451/1402] harassment: LOW (0.15)
  [452/1402] hit-and-run: LOW (0.15)
  [453/1402] identity-theft: LOW (0.15)
  [454/1402] illegal-discharge: LOW (0.15)
  [455/1402] indecent-exposure: LOW (0.15)
  [456/1402] insurance-fraud: LOW (0.15)
  [457/1402] involuntary-manslaughter: LOW (0.15)
  [458/1402] kidnapping: LOW (0.15)
  [459/1402] money-laundering: LOW (0.15)
  [460/1402] motor-vehicle-theft: LOW (0.15)
  [461/1402] murder-first-degree: LOW (0.15)
  [462/1402] murder-second-degree: LOW (0.15)
  [463/1402] obstruction-justice: LOW (0.15)
  [464/1402] parole-violation: LOW (0.15)
  [465/1402] perjury: LOW (0.15)
  [466/1402] petty-theft: LOW (0.15)
  [467/1402] probation-violation: LOW (0.15)
  [468/1402] public-intoxication: LOW (0.15)
  [469/1402] rape: LOW (0.15)
  [470/1402] receiving-stolen-property: LOW (0.15)
  [471/1402] reckless-driving: LOW (0.15)
  [472/1402] residential-burglary: LOW (0.15)
  [473/1402] resisting-arrest: LOW (0.15)
  [474/1402] robbery: LOW (0.15)
  [475/1402] sexual-assault: LOW (0.15)
  [476/1402] shoplifting: LOW (0.15)
  [477/1402] simple-assault: LOW (0.15)
  [478/1402] solicitation-prostitution: LOW (0.15)
  [479/1402] stalking: LOW (0.15)
  [480/1402] statutory-rape: LOW (0.15)
  [481/1402] theft-larceny: LOW (0.15)
  [482/1402] trespassing: LOW (0.15)
  [483/1402] vandalism: LOW (0.15)
  [484/1402] vehicular-homicide: LOW (0.15)
  [485/1402] vehicular-manslaughter: LOW (0.15)
  [486/1402] violation-protective-order: LOW (0.15)
  [487/1402] voluntary-manslaughter: LOW (0.15)
  [488/1402] weapons-possession: LOW (0.15)

--- OH ---
  [489/1402] aggravated-assault: LOW (0.15)
  [490/1402] armed-robbery: LOW (0.15)
  [491/1402] arson: LOW (0.15)
  [492/1402] bad-checks: LOW (0.15)
  [493/1402] burglary: LOW (0.15)
  [494/1402] child-endangerment: LOW (0.15)
  [495/1402] community-control-violation: LOW (0.15)
  [496/1402] concealed-carry-violation: LOW (0.15)
