=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  585M lines, 1922770 records, 1345 matched, 202439 lines/sec (48.2 min)
  590M lines, 1959288 records, 1360 matched, 201143 lines/sec (48.9 min)
  595M lines, 2000059 records, 1366 matched, 198979 lines/sec (49.8 min)
  600M lines, 2021150 records, 1372 matched, 198483 lines/sec (50.4 min)
  605M lines, 2059806 records, 1398 matched, 197620 lines/sec (51.0 min)
  610M lines, 2120422 records, 1415 matched, 195857 lines/sec (51.9 min)
  615M lines, 2190162 records, 1449 matched, 193796 lines/sec (52.9 min)
  620M lines, 2248463 records, 1474 matched, 192198 lines/sec (53.8 min)
  625M lines, 2291438 records, 1478 matched, 191393 lines/sec (54.4 min)
  1500 records matched, 2314052 records scanned (54.9 min)
  630M lines, 2338970 records, 1523 matched, 189845 lines/sec (55.3 min)
  635M lines, 2380089 records, 1562 matched, 188275 lines/sec (56.2 min)
  640M lines, 2388174 records, 1574 matched, 188821 lines/sec (56.5 min)
  645M lines, 2400584 records, 1578 matched, 189148 lines/sec (56.8 min)
  650M lines, 2412960 records, 1578 matched, 189455 lines/sec (57.2 min)
  655M lines, 2442572 records, 1583 matched, 188521 lines/sec (57.9 min)
  660M lines, 2462954 records, 1583 matched, 188852 lines/sec (58.2 min)
  665M lines, 2478641 records, 1589 matched, 189277 lines/sec (58.6 min)
  670M lines, 2497986 records, 1635 matched, 189352 lines/sec (59.0 min)
  675M lines, 2516245 records, 1642 matched, 189623 lines/sec (59.3 min)
  680M lines, 2534743 records, 1677 matched, 189837 lines/sec (59.7 min)
  685M lines, 2556689 records, 1793 matched, 189631 lines/sec (60.2 min)
  690M lines, 2569041 records, 1796 matched, 189917 lines/sec (60.6 min)
  695M lines, 2625718 records, 1819 matched, 187662 lines/sec (61.7 min)
  700M lines, 2660852 records, 1831 matched, 186837 lines/sec (62.4 min)
  705M lines, 2717224 records, 1855 matched, 185910 lines/sec (63.2 min)
  710M lines, 2744480 records, 1861 matched, 185464 lines/sec (63.8 min)
  715M lines, 2754725 records, 1863 matched, 185878 lines/sec (64.1 min)
  720M lines, 2767103 records, 1865 matched, 186327 lines/sec (64.4 min)
  725M lines, 2780607 records, 1872 matched, 186683 lines/sec (64.7 min)
  730M lines, 2806119 records, 1890 matched, 185937 lines/sec (65.4 min)
  735M lines, 2825130 records, 1896 matched, 186190 lines/sec (65.8 min)
  740M lines, 2839315 records, 1900 matched, 186579 lines/sec (66.1 min)
  745M lines, 2867641 records, 1942 matched, 186334 lines/sec (66.6 min)
  750M lines, 2886762 records, 1943 matched, 185581 lines/sec (67.4 min)
  755M lines, 2908545 records, 1946 matched, 185108 lines/sec (68.0 min)
  760M lines, 2926461 records, 1949 matched, 185303 lines/sec (68.4 min)
  765M lines, 2941021 records, 1950 matched, 185600 lines/sec (68.7 min)
  770M lines, 2952656 records, 1953 matched, 186106 lines/sec (69.0 min)
  775M lines, 2972001 records, 1961 matched, 186263 lines/sec (69.3 min)
  780M lines, 2986899 records, 1964 matched, 186450 lines/sec (69.7 min)
  785M lines, 3008516 records, 1969 matched, 186509 lines/sec (70.1 min)
  790M lines, 3092994 records, 1978 matched, 185389 lines/sec (71.0 min)
  795M lines, 3116950 records, 1990 matched, 185474 lines/sec (71.4 min)
  800M lines, 3133394 records, 1993 matched, 185869 lines/sec (71.7 min)
  805M lines, 3143389 records, 1997 matched, 186491 lines/sec (71.9 min)
  2000 records matched, 3150868 records scanned (72.1 min)
  810M lines, 3155351 records, 2001 matched, 187060 lines/sec (72.2 min)
  815M lines, 3165692 records, 2001 matched, 187624 lines/sec (72.4 min)
  820M lines, 3176556 records, 2004 matched, 188173 lines/sec (72.6 min)
  825M lines, 3188092 records, 2007 matched, 188707 lines/sec (72.9 min)
  830M lines, 3202451 records, 2014 matched, 189286 lines/sec (73.1 min)
  835M lines, 3217519 records, 2040 matched, 189496 lines/sec (73.4 min)
  840M lines, 3233988 records, 2122 matched, 189639 lines/sec (73.8 min)
  845M lines, 3247724 records, 2144 matched, 189953 lines/sec (74.1 min)
  850M lines, 3257531 records, 2157 matched, 190378 lines/sec (74.4 min)
  855M lines, 3263070 records, 2160 matched, 190928 lines/sec (74.6 min)
  860M lines, 3273137 records, 2169 matched, 191386 lines/sec (74.9 min)
  865M lines, 3286179 records, 2186 matched, 191681 lines/sec (75.2 min)
  870M lines, 3298797 records, 2190 matched, 192022 lines/sec (75.5 min)
