SENTTOT,SENSPLT0,DISTRICT,MONSEX,OFFGUIDE,SENTRNGE,XCRHISSR
470,470,84,1,22,0,1
,0,5,1,10,2,1
21,21,41,0,17,0,2
36,36,24,1,13,0,3
,0,22,,11,0,1
120,120,24,0,10,0,2
30,30,41,0,17,0,6
27,27,42,0,17,0,2
0.03,0.03,41,0,17,0,1
132,132,75,0,10,8,4
470,470,84,1,22,0,1
57,57,28,0,13,0,4
0.03,0.03,6,0,17,5,1
42,42,66,1,13,0,3
8,8,17,0,17,2,3
34,34,75,0,17,0,1
168,168,25,0,10,0,3
30,30,42,1,17,0,1
5,5,42,1,17,0,1
120,120,64,0,13,5,6
,0,73,0,16,2,5
15,15,80,0,24,0,3
100,100,39,0,17,0,5
135,135,40,1,10,0,5
42,42,90,0,13,8,1
60,60,56,0,13,6,2
,0,24,0,10,8,1
36,36,31,0,16,8,1
39,39,40,1,16,0,1
58,58,41,0,10,8,1
6,6,52,0,17,5,3
51,51,17,1,10,0,1
188,188,24,0,10,0,4
0.03,0.03,24,1,10,0,1
24,24,50,0,10,8,1
18,18,24,0,10,8,3
108,108,24,0,10,0,1
360,360,65,0,27,0,1
48,48,50,0,28,8,6
21,21,65,0,13,0,2
4.76,4.76,42,0,17,0,1
3,3,50,0,21,2,1
27,27,17,0,13,8,2
168,168,42,0,10,0,1
23,23,79,0,10,7,3
37,37,47,0,10,0,1
,0,76,1,10,7,2
210,210,17,0,26,1,6
57,57,24,0,10,0,1
18,18,63,0,28,8,3
75,75,49,0,10,0,5
108,108,49,0,10,0,3
41,41,63,0,13,0,6
13,13,24,0,10,0,4
8,8,24,0,10,0,2
71,71,40,0,10,0,1
,0,42,0,17,0,1
121,121,49,0,10,0,4
210,210,66,0,10,2,6
220,220,66,1,10,8,6
30,30,42,0,17,0,5
6,6,70,0,17,3,3
24,24,22,0,16,0,6
,0,42,0,17,0,1
13.03,13.03,70,0,17,8,3
,0,66,1,16,0,1
14,14,70,0,10,3,1
,0,66,0,16,0,1
151,151,66,0,26,0,6
120,120,63,0,7,0,2
520,520,7,0,22,4,1
360,360,37,0,27,0,3
90,90,85,0,6,1,1
41,41,7,0,13,0,2
24,24,7,0,16,8,2
100,100,7,0,10,8,4
,6,7,0,5,8,1
1,1,33,1,16,8,2
64,64,33,0,13,0,4
3.29,3.29,90,0,6,0,1
90,90,8,0,10,8,1
,0,33,0,16,8,1
0.03,0.03,12,0,16,0,1
24,24,74,1,10,3,1
30,30,74,0,17,3,3
8.3,8.3,42,0,17,0,2
3.29,3.29,90,0,6,0,1
27,27,42,0,13,0,5
0.03,0.03,74,0,17,0,1
12.62,12.62,42,0,17,0,2
,0,12,1,16,0,1
12.1,12.1,42,0,17,0,2
42,42,74,0,13,5,6
150,150,74,0,7,0,1
16,16,42,0,17,0,3
18,18,47,0,13,8,2
11.95,11.95,42,0,17,0,3
9.13,9.13,42,0,17,0,1
,0,24,1,10,8,1
93,93,41,0,26,0,1
0.03,0.03,74,0,17,3,2
21,21,42,0,17,0,2
19,19,74,0,10,3,1
0.03,0.03,31,0,16,0,1
42,42,31,1,21,4,2
36,36,42,1,17,0,1
37,37,42,1,17,0,1
,0,44,1,30,0,1
151,151,30,0,10,0,4
0.03,0.03,74,1,17,0,1
6.01,6.01,39,1,17,0,1
144,144,66,0,13,2,6
6,6,22,0,17,0,1
18,18,90,1,16,8,1
38,38,37,0,13,2,5
30,30,42,0,17,6,1
180,180,37,0,10,7,6
42,42,68,1,10,2,2
360,360,35,0,22,0,1
120,120,68,0,10,2,6
0.99,3.99,1,1,29,7,1
0.1,0.1,68,1,10,2,1
37,37,74,1,10,3,3
,0,81,1,30,0,1
27,27,1,0,10,0,4
,6,25,0,16,0,3
37,37,31,0,21,0,1
46,46,42,0,17,4,6
5.36,5.36,42,1,17,0,1
3.2,3.2,42,0,17,0,1
20,20,39,0,13,0,2
135,135,39,1,10,0,3
,0,34,0,30,0,1
78,78,30,0,16,8,1
,0,42,0,17,0,1
160,160,49,0,10,7,5
24,24,8,0,16,0,1
60,60,30,0,16,8,1
41,41,12,0,16,7,6
108,108,63,1,10,8,3
12.03,12.03,41,0,17,8,2
120,120,39,0,10,0,4
22,22,1,0,17,2,1
36,36,53,1,21,8,1
216,216,39,0,10,0,4
46,46,3,1,21,0,1
240,240,39,0,7,0,1
10,10,42,0,17,0,2
156,156,4,0,10,7,6
121,121,63,0,13,0,3
24,24,52,0,29,8,1
1.07,1.07,13,0,16,2,6
70,70,48,0,10,2,6
262,262,14,0,27,8,1
0.03,0.03,60,0,10,2,4
17.72,17.72,42,0,17,0,2
17.85,17.85,42,0,17,0,1
144,144,42,0,10,2,5
0.03,0.03,1,1,17,8,1
300,300,85,0,22,0,3
55,55,47,0,13,2,3
,0,42,0,17,0,1
10,10,42,0,17,0,1
135,135,39,1,10,0,1
31,31,42,0,17,2,6
102,102,48,0,21,0,1
96,96,14,0,10,8,1
147,147,40,0,10,0,3
3.07,3.07,42,0,17,0,1
108,108,48,0,10,4,2
5.59,5.59,42,1,17,0,1
3.07,3.07,42,0,17,0,1
36,36,27,1,10,2,4
84,84,14,0,26,2,5
120,120,41,0,10,8,5
3.42,3.42,41,0,17,3,2
,0,42,0,16,0,1
12.03,12.03,14,0,25,0,3
70,70,40,0,10,0,1
96,96,14,0,10,8,6
,4,14,1,16,0,1
,0,42,1,16,0,
120,120,60,0,13,0,6
,0,42,1,16,0,
71,71,31,0,21,0,1
37,37,77,0,10,2,1
288,288,77,1,21,2,1
65,65,77,0,13,0,6
12.03,12.03,77,0,10,8,3
87,87,39,0,10,0,3
,0,66,1,30,0,1
28,28,83,0,7,8,1
108,108,15,0,10,0,4
60,60,48,1,10,0,2
276,276,39,0,26,6,6
6,6,1,1,16,8,2
60,60,82,0,10,2,1
84,84,15,0,10,0,3
34,34,60,0,13,0,4
151,151,39,0,13,0,6
70,70,83,1,26,0,5
64,64,83,0,13,0,5
27,27,60,0,13,8,2
360,360,45,0,27,0,1
,0,82,1,10,7,1
45,45,41,0,10,2,1
,8,12,0,18,8,1
46,46,12,0,13,0,1
12.03,12.03,62,0,13,5,3
57,57,40,0,10,0,1
15,15,41,0,17,7,3
108,108,40,0,10,0,1
0.03,0.03,48,1,10,2,1
,0,42,1,4,0,1
10,10,45,0,17,0,3
150,150,53,0,10,8,6
42,42,22,0,10,8,1
24,24,38,0,13,0,1
,0,83,0,16,0,1
235,235,32,0,10,0,2
0.1,0.1,42,0,30,0,
108,108,60,0,10,8,6
36,36,76,0,10,2,6
102,102,1,0,26,0,5
,6,12,0,10,2,1
96,96,12,0,4,7,6
240,240,42,1,10,0,3
48,48,12,0,13,7,5
,0,42,0,16,0,1
78,78,42,0,13,0,6
7,7,42,0,17,0,2
180,180,42,0,4,0,6
168,168,9,0,27,0,3
26,26,17,0,10,2,3
18,18,83,0,17,3,3
120,120,41,0,27,7,2
36,36,83,0,25,6,6
156,156,42,0,4,0,4
97,97,4,0,10,8,1
220,220,36,0,4,1,4
30,30,37,0,4,2,6
37,37,49,0,10,0,5
30,30,70,1,10,2,1
73,73,88,0,10,7,1
60,60,88,0,13,7,6
151,151,65,0,10,0,6
84,84,73,0,10,7,6
120,120,73,0,10,2,6
120,120,48,0,10,0,1
190,190,42,0,10,0,3
2.79,2.79,42,1,17,,
82,82,4,0,10,0,2
11.92,11.92,49,0,16,0,1
,0,4,0,10,8,2
,0,4,0,16,0,1
57,57,56,0,13,0,4
144,144,7,0,16,8,1
,0,4,0,16,0,1
,7,49,0,13,8,2
180,180,73,0,13,0,6
18,18,7,0,17,0,3
148,148,49,0,10,2,6
4,4,7,0,17,0,1
12.03,12.03,7,0,16,8,1
72,72,7,0,26,8,3
26,26,39,0,13,6,1
8,8,90,0,1,0,1
0.03,0.03,7,0,29,8,1
,0,30,0,29,8,1
2.96,2.96,90,1,1,,1
27,27,70,0,17,0,5
18,18,47,0,13,8,5
0.03,0.03,15,0,10,8,1
12.03,12.03,8,0,16,8,1
96,96,25,0,10,0,1
0.03,0.03,25,1,16,0,1
2.49,2.49,42,0,17,0,1
120,120,16,0,26,7,4
45,45,15,0,10,7,5
80,80,68,0,10,2,2
0.03,0.03,15,0,16,8,1
135,135,42,1,10,0,1
3.13,3.13,42,0,17,0,1
121,121,56,0,26,0,4
7,7,42,1,17,6,1
470,470,49,0,27,0,5
60,60,20,0,10,8,1
37,37,73,0,10,0,1
60,60,17,0,10,2,1
174,174,54,0,7,6,2
155,155,75,0,10,0,5
156,156,54,1,26,6,4
168,168,66,0,10,0,3
12.03,12.03,42,0,13,0,2
60,60,45,0,10,8,2
36,36,75,1,10,2,2
96,96,10,0,10,7,2
188,188,42,0,10,0,6
72,72,6,0,10,2,1
,0,42,1,17,0,1
179,179,17,0,10,2,1
51,51,17,0,13,0,2
34,34,75,1,17,0,1
80,80,4,0,10,6,1
12.03,12.03,91,1,10,8,2
27,27,42,0,17,0,1
84,84,22,0,16,0,1
22,22,25,1,10,8,1
37,37,41,0,17,0,3
51,51,42,0,13,0,6
84,84,66,0,10,8,1
33,33,73,0,13,8,1
46,46,65,0,20,7,5
7,7,42,1,17,6,1
33,33,73,0,16,0,1
0.07,0.07,71,0,10,7,3
72,72,65,1,10,2,1
66,66,65,0,7,7,1
42,42,39,1,10,8,1
16,16,42,0,13,0,1
,0,31,0,16,0,1
3.13,3.13,42,0,17,0,1
30,30,50,0,13,0,3
144,144,42,1,10,0,5
121,121,6,0,21,2,3
264,264,50,0,10,7,6
12.03,12.03,42,0,17,5,3
,0,42,1,10,8,1
84,84,80,0,10,0,4
108,108,42,0,10,6,1
3.43,3.43,42,1,17,0,1
24,24,30,0,17,0,4
84,84,65,0,10,7,6
65,65,65,0,13,7,4
60,60,81,0,7,7,1
152,152,66,0,10,0,6
12.03,12.03,66,0,13,8,3
,6,30,0,5,8,1
0.03,0.03,8,0,16,2,1
27,27,42,0,13,0,4
0.03,0.03,85,0,27,4,1
36,36,63,0,13,0,1
37,37,42,0,17,0,2
68,68,67,1,10,7,6
28,28,42,1,17,6,1
84,84,13,0,26,2,1
3.88,3.88,41,0,17,0,1
8,8,67,0,25,7,5
75,75,60,0,10,2,5
,0,30,0,17,8,2
84,84,12,0,12,7,3
10,10,81,0,10,8,2
6,6,62,1,16,2,1
48,48,85,0,4,5,1
40,40,4,0,10,8,1
108,108,4,0,10,0,1
63,63,39,0,26,0,6
12,12,41,0,17,7,4
78,78,65,0,10,8,2
30,30,39,1,10,2,1
84,84,52,0,10,0,6
37,37,39,0,13,0,4
0.03,0.03,40,0,10,7,1
57,57,22,0,13,0,4
13.39,13.39,48,0,10,7,6
12.03,12.03,13,0,16,,
162,162,39,0,13,0,6
,0,9,1,10,8,1
78,78,26,0,10,8,1
192,192,41,0,10,0,2
470,470,41,0,22,0,2
78,78,50,0,26,7,3
60,60,82,0,13,0,6
135,135,26,0,10,8,1
135,135,39,0,10,0,3
33,33,77,0,24,0,6
168,168,39,0,10,8,6
30,30,77,0,13,0,5
54,54,41,0,23,0,1
27,27,39,1,10,0,1
60,60,26,0,13,8,4
30,30,77,0,13,0,3
3.88,3.88,41,0,17,0,1
41,41,81,0,13,7,6
135,135,67,0,10,0,1
3.15,3.15,41,0,17,0,1
4.07,4.07,41,0,17,0,1
204,204,67,0,10,0,2
15,15,42,0,10,8,2
70,70,89,0,10,2,2
70,70,69,1,20,0,1
90,90,70,0,17,4,1
75,75,67,0,10,8,1
18,18,70,0,10,3,1
0.03,0.03,42,0,17,0,3
,0,70,1,21,3,1
,0,26,0,13,7,1
66,66,85,0,13,1,1
480,480,62,1,27,7,1
6,6,41,0,17,0,3
5.82,5.82,32,0,25,0,3
87,87,22,0,10,0,3
108,108,32,0,10,0,3
,0,82,0,30,7,4
119,119,22,0,16,0,4
33,33,69,1,16,0,3
108,108,4,0,10,0,1
90,90,43,0,10,2,4
120,120,62,0,10,0,1
180,180,22,0,13,0,6
120,120,40,0,10,7,1
6,6,70,0,17,3,1
87,87,4,0,10,0,3
60,60,60,0,13,0,5
42,42,40,0,17,0,3
71,71,15,0,10,7,1
240,240,22,0,27,7,1
34,34,67,1,16,0,1
180,180,87,0,10,8,6
,0,26,0,11,0,1
36,36,74,1,10,7,1
6,6,74,1,10,8,1
12.03,12.03,17,1,16,8,1
30,30,82,0,10,8,1
46,46,79,0,13,0,4
396,396,90,1,10,4,1
4.95,4.95,31,0,17,0,1
7.72,7.72,10,0,17,0,1
46,46,15,0,13,0,3
21,21,87,0,17,0,2
132,132,9,0,10,7,1
51,51,47,0,17,0,3
12.03,12.03,31,0,17,2,2
0.03,0.03,87,0,17,0,1
46,46,66,0,13,0,4
120,120,66,0,10,7,6
0.03,0.03,87,0,17,0,3
51,51,17,0,13,0,4
42,42,66,0,13,0,4
90,90,27,0,13,8,6
0.03,0.03,67,0,16,8,6
1.97,1.97,74,0,17,0,1
42,42,65,0,7,8,1
30,30,65,0,13,7,4
51,51,4,0,7,7,1
,0,26,0,11,0,1
0.03,0.03,70,0,17,0,1
13.03,13.03,74,0,30,0,4
12.03,12.03,74,0,10,3,1
15,15,42,0,17,0,3
96,96,4,0,10,0,1
25,25,42,1,17,0,2
12,12,65,0,25,0,5
27,27,65,0,13,0,2
120,120,50,0,7,0,3
300,300,29,0,10,0,6
60,60,66,0,13,8,6
,0,28,0,10,0,1
12.03,12.03,88,0,13,8,2
70,70,40,0,10,8,1
20,20,42,0,17,6,1
12,12,70,0,17,3,4
0.1,0.1,74,0,5,7,1
12,12,41,0,16,0,2
280,280,63,0,10,8,2
,12,12,1,10,2,4
24,24,74,0,10,4,1
3.03,3.03,11,0,17,0,1
60,60,85,0,13,0,3
46,46,85,1,22,2,3
96,96,46,0,13,0,6
15,15,39,0,13,0,2
37,37,70,1,10,3,1
42,42,65,0,10,7,1
42,42,2,1,10,2,6
120,120,15,0,10,4,6
78,78,70,0,21,7,2
0.03,0.03,85,0,30,0,2
27,27,43,0,18,2,2
22,22,70,1,13,8,2
97,97,40,0,10,8,1
1,1,43,0,1,2,1
1,1,43,0,1,2,1
24,24,39,0,16,2,1
81,81,4,0,10,0,5
6,6,70,0,17,0,1
,6,42,0,17,0,1
0.43,0.43,4,0,10,8,1
115,115,90,0,13,6,4
6,6,70,0,17,3,2
70,70,76,1,10,0,3
24,24,42,0,17,6,1
120,120,66,0,7,8,3
,0,89,0,11,0,1
8,8,30,0,17,0,2
2.14,2.14,70,1,17,0,1
80,80,66,0,7,7,1
240,240,87,0,27,7,6
327,327,69,0,10,0,2
,0,30,1,16,0,1
252,252,69,0,10,8,4
60,60,43,0,13,2,2
0.03,0.03,66,1,10,2,1
49,49,62,0,10,2,3
60,60,43,0,18,8,1
24,24,22,0,16,8,3
63,63,76,0,10,0,6
,12,10,1,21,2,2
3.65,3.65,70,0,17,3,1
15,15,70,0,17,3,5
8,8,70,0,17,0,2
70,70,66,0,10,0,1
4.2,4.2,70,1,17,0,1
8,8,42,1,17,6,1
6,6,70,1,17,3,2
,0,4,1,10,7,1
0.23,10.23,74,1,10,4,1
,6,42,0,17,0,1
12.03,12.03,13,1,10,2,1
58,58,34,0,13,7,3
,0,1,1,16,0,1
40,40,41,1,13,8,1
,0,70,0,17,3,1
76,76,34,0,10,8,6
48,48,70,0,10,7,1
8,8,56,1,5,0,1
34,34,68,0,10,2,2
0.03,0.03,70,0,17,0,1
2.39,2.39,68,0,7,8,1
,19,20,0,16,8,1
,6,70,1,10,3,1
27,27,8,0,13,8,3
12.03,12.03,70,1,10,3,1
0.03,0.03,73,0,10,0,6
8.02,8.02,70,0,13,8,1
42,42,88,0,21,7,2
195,195,62,0,10,2,6
151,151,40,0,10,0,4
12.03,12.03,15,0,10,0,2
9.56,9.56,42,1,17,0,2
18,18,42,0,17,0,4
84,84,5,0,10,7,6
13.39,13.39,42,0,17,0,3
14,14,42,0,17,0,2
6,6,71,0,23,7,1
20,20,70,0,17,3,4
160,160,49,0,10,2,1
60,60,88,0,27,6,1
84,84,47,0,10,7,3
130,130,49,0,10,5,6
144,144,41,1,10,2,1
15,15,43,0,18,2,1
0.03,0.03,42,0,17,0,2
,0,70,1,16,2,1
12,12,42,0,17,0,3
36,36,74,0,10,3,6
37,37,74,0,10,3,4
185,185,14,0,10,4,6
37,37,32,0,5,0,1
4.46,4.46,47,0,17,0,1
12.75,12.75,41,0,17,5,4
25.82,25.82,41,0,17,5,4
9.43,9.43,41,0,17,5,2
72,72,43,0,10,5,6
8.97,8.97,41,0,17,5,2
9.33,9.33,41,0,17,5,2
34,34,45,0,13,0,5
13,13,39,0,13,0,1
21.75,21.75,41,0,17,5,5
3.69,3.69,70,0,17,0,2
12.25,12.25,41,0,17,5,5
182,182,50,0,4,8,6
24,24,74,0,10,3,1
23.36,23.36,41,0,17,5,3
110,110,45,0,26,8,1
16,16,74,0,17,8,5
24,24,15,0,13,0,3
27,27,15,0,10,2,1
21.68,21.68,41,0,17,5,3
9.26,9.26,41,0,17,5,3
48,48,15,0,13,6,3
23.36,23.36,41,0,17,5,3
96,96,44,0,10,7,2
14.95,14.95,41,0,17,5,2
11.79,11.79,41,0,17,5,3
37,37,90,0,13,0,3
60,60,45,0,13,0,4
6,6,74,0,13,8,1
0.03,0.03,74,0,17,3,1
46,46,45,0,13,0,4
40,40,45,1,21,2,2
84,84,45,0,13,0,6
37,37,45,0,13,0,4
50,50,45,0,13,8,6
132,132,45,0,10,8,3
360,360,45,0,27,7,1
36,36,45,0,21,8,1
46,46,45,0,13,0,3
12.03,12.03,41,0,17,0,2
34,34,45,0,16,8,2
60,60,45,1,21,8,1
120,120,45,0,10,8,1
108,108,39,0,10,0,4
20,20,41,0,17,8,3
188,188,28,0,10,8,4
132,132,71,0,22,4,1
24,24,9,0,10,2,1
,0,9,0,29,8,1
,0,22,0,30,0,1
16,16,70,0,13,8,1
156,156,6,0,10,8,6
0.03,0.03,45,0,17,8,1
15,15,73,0,16,0,1
14,14,42,0,17,0,2
8,8,70,0,17,3,3
30,30,42,0,17,0,1
18,18,70,0,17,3,3
8.49,8.49,42,0,17,0,2
,0,70,0,17,3,1
17,17,74,0,21,4,1
48,48,28,0,10,8,1
180,180,69,1,10,8,4
18,18,48,0,10,8,1
0.03,0.03,42,0,17,0,2
37,37,70,0,10,3,1
24,24,74,0,10,7,1
14,14,70,1,25,8,5
156,156,42,0,10,2,1
180,180,34,0,10,7,5
12.03,12.03,74,0,17,3,6
37,37,40,0,10,0,1
41,41,23,0,10,0,4
330,330,23,0,27,0,2
0.03,0.03,65,1,16,2,1
6.04,6.04,74,1,10,3,1
16,16,42,0,17,0,2
46,46,70,0,17,3,6
36,36,70,0,10,8,1
13.39,13.39,42,0,17,0,3
30,30,42,0,17,0,4
27,27,70,0,10,3,1
20,20,42,0,17,0,3
19,19,72,0,16,2,1
,0,81,0,30,0,1
140,140,69,0,10,0,5
121,121,73,0,7,7,2
30,30,73,1,16,2,4
,0,73,0,13,7,1
84,84,65,0,4,0,5
6,6,30,0,16,0,1
10,10,73,0,16,0,1
6.64,6.64,41,0,17,0,1
,0,81,1,30,0,1
,0,81,1,30,0,1
0.03,0.03,6,0,17,0,1
41,41,74,0,16,4,1
4,4,73,0,13,4,4
4.37,4.37,70,0,17,4,2
12,12,42,0,17,6,2
6.44,6.44,41,0,17,0,1
36,36,42,0,17,6,3
0.03,0.03,2,1,9,0,1
13.85,13.85,42,0,17,0,3
21,21,15,0,13,8,2
120,120,14,0,13,0,6
144,144,49,1,10,2,2
6,6,14,0,25,7,3
33,33,48,0,13,0,6
,0,12,0,10,2,2
36,36,82,0,13,0,3
21,21,30,0,29,8,1
6.01,6.01,84,0,17,3,1
58,58,87,0,13,0,1
6.18,6.18,41,0,17,0,1
27,27,12,0,17,8,3
0.03,0.03,12,0,10,0,1
38,38,66,0,10,2,6
0.03,1.03,81,0,16,8,1
151,151,66,0,4,0,1
27,27,13,1,13,2,1
12.03,12.03,48,0,13,7,2
4,4,84,0,17,3,2
30,30,84,0,17,0,3
120,120,14,0,10,0,1
78,78,55,0,7,8,1
,0,66,1,10,8,2
63,63,76,0,10,2,2
21,21,47,1,10,2,1
72,72,66,0,7,8,1
75,75,84,0,10,8,6
180,180,55,0,10,8,1
60,60,20,0,13,0,2
4,4,14,0,25,4,2
60,60,86,0,20,6,1
102,102,84,0,13,6,4
120,120,56,0,10,8,1
24,24,84,0,17,0,3
77,77,13,0,13,0,6
,0,81,0,16,7,4
150,150,85,0,27,1,1
30,30,76,0,17,0,6
24,24,48,0,13,2,6
132,132,86,0,19,0,2
18,18,76,0,17,3,3
28.43,28.43,4,0,10,2,1
0.03,0.03,19,0,16,0,1
4.99,4.99,41,0,17,0,1
,0,4,0,13,8,1
162,162,60,0,13,2,6
37,37,4,0,10,0,1
6,6,41,0,17,0,1
120,120,66,0,7,8,1
30,30,12,0,10,7,6
6,6,41,0,17,0,1
275,275,83,0,7,6,2
,0,82,0,16,8,1
21,21,41,0,17,0,2
4.76,4.76,70,0,17,3,1
57,57,13,0,10,0,1
36,36,12,1,17,7,3
10,10,41,0,17,0,3
42,42,86,1,13,2,1
470,470,86,0,22,0,1
3.98,3.98,41,0,17,0,1
40,40,76,0,10,8,3
30,30,86,0,27,0,1
32,32,86,0,24,0,5
4.24,4.24,68,0,17,0,1
78,78,68,0,7,0,1
42,42,47,0,10,8,1
63,63,40,0,10,0,2
70,70,47,0,13,8,1
40,40,4,0,13,8,3
,0,47,1,21,2,1
,0,1,1,16,7,1
4,4,84,1,17,3,2
120,120,14,0,10,0,2
3.52,3.52,84,0,17,0,1
188,188,76,1,10,0,6
120,120,86,0,7,0,2
84,84,4,0,26,0,1
24,24,82,0,13,8,3
14,14,35,0,17,0,2
,0,82,0,16,0,1
87,87,86,0,10,0,1
51,51,1,0,10,0,1
18,18,47,0,16,5,2
156,156,9,0,10,0,6
52,52,86,0,4,0,4
37,37,1,0,16,0,2
63,63,9,0,10,7,5
72,72,83,0,26,0,3
78,78,19,1,10,8,3
71,71,62,0,13,0,4
1.82,1.82,42,0,17,0,1
60,60,13,0,10,7,1
120,120,56,0,7,0,2
240,240,34,0,27,0,1
78,78,64,0,10,0,1
1.79,1.79,42,0,17,0,1
160,160,42,0,10,2,6
96,96,4,0,13,6,4
4.66,4.66,42,0,17,0,1
1.66,1.66,42,0,17,0,1
348,348,56,0,26,7,3
0.03,0.03,6,0,17,0,1
470,470,56,0,10,0,1
60,60,15,0,10,0,1
109,109,34,0,10,2,4
135,135,15,0,10,8,1
,0,30,1,29,8,1
4.49,4.49,42,0,17,0,1
30,30,90,0,13,0,1
188,188,40,0,10,0,4
24,24,54,0,13,6,3
120,120,14,0,10,7,6
,0,74,1,16,0,1
,0,18,1,16,7,1
0.13,0.13,6,0,17,5,1
57.13,57.13,1,0,10,7,2
18,18,41,0,17,8,3
87,87,85,0,10,0,1
64,64,18,0,13,0,4
8,8,41,0,17,0,2
180,180,56,1,10,8,3
120,120,47,0,7,8,1
63,63,85,1,10,0,2
20,20,20,0,10,2,1
46,46,18,0,13,0,3
15,15,42,0,27,8,1
60,60,47,0,10,2,5
1.76,1.76,42,0,17,0,1
162,162,26,0,13,0,5
46,46,18,0,13,0,5
40,40,45,0,13,0,3
132,132,80,1,10,7,1
0.03,0.03,48,0,10,2,1
,0,40,1,1,7,1
105,105,40,1,10,0,5
102,102,88,0,13,1,2
188,188,40,0,10,0,6
,0,88,0,10,7,3
57,57,65,0,13,0,4
37,37,18,0,10,0,1
84,84,8,0,27,8,1
6.79,6.79,20,0,17,0,3
37,37,18,0,13,0,4
,0,42,1,10,8,1
120,120,56,0,10,0,2
348,348,56,0,26,7,2
122,122,58,0,10,8,6
12.03,12.03,70,0,21,7,1
360,360,56,0,21,0,5
3.06,3.06,70,0,17,0,1
12.03,12.03,86,1,16,8,1
42,42,70,0,28,8,1
33,33,31,0,13,0,2
72,72,22,0,13,8,6
,4,5,0,29,8,1
8,8,70,0,17,0,3
24,24,42,0,17,7,1
6,6,40,0,17,0,1
168.59,168.59,4,0,22,0,1
6,6,22,0,16,0,2
15,15,42,0,17,8,2
51,51,87,0,10,0,1
18,18,79,0,10,7,3
67,67,66,0,10,2,4
78,78,80,0,13,6,4
4.6,4.6,70,0,17,3,2
60,60,8,0,7,7,1
121,121,20,0,10,0,4
6,12,8,0,16,0,1
108,108,13,0,10,7,6
33,33,4,0,13,0,2
24,24,31,0,16,0,1
0.43,0.43,65,0,13,2,1
12.03,12.03,33,0,10,7,1
33,33,20,1,16,0,2
108,108,20,0,10,2,2
82,82,8,0,10,8,1
95,95,8,0,10,8,3
28,28,65,0,13,8,1
0.03,0.03,6,0,17,0,1
53,53,79,0,10,8,2
13,13,32,0,17,8,4
121,121,32,0,10,2,2
8.51,8.51,70,0,17,3,3
31,31,51,0,4,2,2
60,60,84,0,10,0,4
33,33,84,0,17,0,2
0.03,0.03,85,1,1,2,3
15,15,70,0,17,3,2
151,151,47,0,10,7,2
108,108,39,0,10,0,1
12.03,12.03,46,0,13,8,1
,0,12,0,16,0,1
,0,13,1,5,2,1
9.92,9.92,84,1,10,8,1
216,216,49,0,10,1,2
22.07,22.07,8,0,26,2,6
48,48,46,0,10,8,1
4.04,4.04,84,0,17,0,1
24,24,79,0,26,7,1
336,336,18,1,10,0,1
108,108,42,0,10,0,3
6.73,6.73,41,0,17,0,2
10.84,10.84,41,0,17,5,2
,0,48,0,16,0,1
60,60,40,0,13,0,3
20.6,20.6,41,0,17,5,3
10,10,74,0,17,3,1
0.03,0.03,74,1,16,2,1
24,24,74,1,10,3,1
30,30,79,0,20,0,1
0.03,0.03,20,1,17,,
300,300,39,0,10,8,1
24,24,74,0,17,3,4
120,120,74,0,17,0,1
10.94,10.94,74,0,21,0,1
0.62,0.62,74,0,17,3,1
65.56,65.56,71,0,22,2,1
132,132,20,0,13,6,2
12,12,33,0,17,0,2
15,15,23,0,16,0,1
38,38,41,0,10,8,1
18,18,71,0,26,8,3
0.03,0.03,41,0,17,3,2
528,528,28,0,10,0,3
0.03,0.03,74,0,17,3,2
13,13,41,0,16,5,4
12.03,12.03,8,1,4,7,3
180,180,20,0,13,0,6
26,26,38,0,16,0,4
360,360,79,0,22,0,4
57,57,80,0,13,0,4
12.03,12.03,47,0,26,8,1
10.87,10.87,84,0,17,8,1
,0,47,0,28,8,1
0.03,0.03,65,0,13,8,1
120,120,30,0,10,0,1
33,33,20,0,13,0,2
3,3,27,0,13,2,3
185,185,49,0,27,0,5
188,188,54,0,10,0,6
100,100,55,0,13,0,5
168,168,0,0,10,2,3
46,46,20,0,10,0,3
24,24,23,0,24,6,4
78,78,47,0,13,0,6
10,10,84,0,17,3,2
48,48,61,0,10,2,1
46,46,5,0,10,0,3
72,72,20,0,10,7,4
96,96,9,0,27,8,1
13.89,13.89,42,0,17,0,1
60,60,67,0,16,6,1
24,24,74,0,10,3,1
131,131,26,0,10,2,6
8,8,42,0,17,6,1
1.49,1.49,20,1,10,8,3
25,25,6,0,10,2,1
0.03,0.03,0,1,13,2,1
96,96,89,0,7,7,3
120,120,15,0,10,7,6
,0,30,1,16,0,1
25.46,25.46,42,0,17,0,2
,0,76,0,13,8,1
24,24,15,0,16,0,6
40,40,67,1,10,8,1
120,120,67,0,10,0,5
28,28,42,1,17,0,1
9.53,9.53,48,0,13,0,1
15,15,4,0,16,0,1
72,72,42,1,10,2,3
70,70,5,0,10,7,1
36,36,14,0,28,0,6
42,42,70,0,17,3,5
63,63,86,0,10,0,2
108,108,31,0,7,0,1
46,46,47,0,13,0,1
37,37,65,1,10,0,1
0.03,0.03,42,1,17,0,1
12.53,12.53,42,0,17,8,2
6,6,13,0,13,7,3
12.3,12.3,42,0,17,0,2
8,8,41,0,17,0,2
180,180,67,0,10,7,4
,0,85,1,16,8,1
6,6,48,0,21,8,3
